region,iso3c,country,year,vaccine,vaccine_code,vaccine_desc,target,doses,coverage
LACR,ARG,Argentina,2018,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,351531,203734,58
LACR,ARG,Argentina,2019,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,352634,208229,59
LACR,ARG,Argentina,2020,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,354655,158948,45
LACR,ARG,Argentina,2015,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,343786,297385,87
LACR,ARG,Argentina,2016,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,345426,230625,67
LACR,ARG,Argentina,2017,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,347186,283681,82
LACR,ARG,Argentina,2018,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,348646,288548,83
LACR,ARG,Argentina,2019,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,349406,296391,85
LACR,ARG,Argentina,2020,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,349746,327200,94
LACR,ARG,Argentina,2016,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,345426,128040,37
LACR,ARG,Argentina,2017,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,347186,196648,57
LACR,ARG,Argentina,2018,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,348646,201986,58
LACR,ARG,Argentina,2019,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,349406,196985,56
LACR,ARG,Argentina,2020,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,349746,240619,69
CEECIS,ARM,Armenia,2018,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,16736,1070,6
CEECIS,ARM,Armenia,2019,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,17340,3006,17
CEECIS,ARM,Armenia,2020,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,18046,1783,10
CEECIS,ARM,Armenia,2018,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,16736,339,2
CEECIS,ARM,Armenia,2019,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,17340,1233,7
CEECIS,ARM,Armenia,2020,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,18046,1522,8
CEECIS,ARM,Armenia,2020,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,16673,1224,7
CEECIS,ARM,Armenia,2020,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,16673,339,2
LACR,ATG,Antigua and Barbuda,2018,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,3373,345,10
LACR,ATG,Antigua and Barbuda,2019,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,,,10
Industrialized,AUS,Australia,2010,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,134922,105657,78
Industrialized,AUS,Australia,2011,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,135507,103235,76
Industrialized,AUS,Australia,2012,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,135910,104102,77
Industrialized,AUS,Australia,2013,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,136270,96873,71
Industrialized,AUS,Australia,2014,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,,,74
Industrialized,AUS,Australia,2015,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,136891,104082,76
Industrialized,AUS,Australia,2016,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,,,79
Industrialized,AUS,Australia,2017,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,145441,119154,82
Industrialized,AUS,Australia,2018,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,,,85
Industrialized,AUS,Australia,2019,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,154264,136636,89
Industrialized,AUS,Australia,2020,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,158080,116791,74
Industrialized,AUS,Australia,2010,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,134922,90104,67
Industrialized,AUS,Australia,2011,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,135507,85406,63
Industrialized,AUS,Australia,2012,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,135910,88194,65
Industrialized,AUS,Australia,2013,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,136270,89120,65
Industrialized,AUS,Australia,2014,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,,,66
Industrialized,AUS,Australia,2015,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,136891,92030,67
Industrialized,AUS,Australia,2016,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,,,71
Industrialized,AUS,Australia,2017,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,,,72
Industrialized,AUS,Australia,2018,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,149800,110671,74
Industrialized,AUS,Australia,2019,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,154264,122201,79
Industrialized,AUS,Australia,2020,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,158080,104756,66
Industrialized,AUS,Australia,2012,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,,,84
Industrialized,AUS,Australia,2013,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,,,83
Industrialized,AUS,Australia,2014,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,,,85
Industrialized,AUS,Australia,2015,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,,,88
Industrialized,AUS,Australia,2016,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,,,88
Industrialized,AUS,Australia,2017,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,,,89
Industrialized,AUS,Australia,2018,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,,,89
Industrialized,AUS,Australia,2019,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,,,89
Industrialized,AUS,Australia,2020,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,,,89
Industrialized,AUS,Australia,2012,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,,,72
Industrialized,AUS,Australia,2013,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,,,72
Industrialized,AUS,Australia,2014,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,,,75
Industrialized,AUS,Australia,2015,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,,,79
Industrialized,AUS,Australia,2016,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,,,80
Industrialized,AUS,Australia,2017,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,,,80
Industrialized,AUS,Australia,2018,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,,,77
Industrialized,AUS,Australia,2019,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,,,75
Industrialized,AUS,Australia,2020,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,,,72
Industrialized,BEL,Belgium,2012,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,,,63
Industrialized,BEL,Belgium,2013,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,,,65
Industrialized,BEL,Belgium,2014,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,,,67
Industrialized,BEL,Belgium,2015,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,,,69
Industrialized,BEL,Belgium,2016,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,,,71
Industrialized,BEL,Belgium,2017,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,,,71
Industrialized,BEL,Belgium,2018,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,,,71
Industrialized,BEL,Belgium,2019,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,,,71
Industrialized,BEL,Belgium,2012,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,,,61
Industrialized,BEL,Belgium,2013,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,,,63
Industrialized,BEL,Belgium,2014,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,,,64
Industrialized,BEL,Belgium,2015,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,,,66
Industrialized,BEL,Belgium,2016,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,,,67
Industrialized,BEL,Belgium,2017,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,,,67
Industrialized,BEL,Belgium,2018,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,,,67
Industrialized,BEL,Belgium,2019,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,,,67
Industrialized,BEL,Belgium,2013,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,,,63
Industrialized,BEL,Belgium,2014,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,,,65
Industrialized,BEL,Belgium,2015,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,,,67
Industrialized,BEL,Belgium,2016,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,,,69
Industrialized,BEL,Belgium,2017,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,,,71
Industrialized,BEL,Belgium,2018,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,,,71
Industrialized,BEL,Belgium,2019,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,,,71
Industrialized,BEL,Belgium,2013,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,,,61
Industrialized,BEL,Belgium,2014,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,,,63
Industrialized,BEL,Belgium,2015,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,,,64
Industrialized,BEL,Belgium,2016,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,,,66
Industrialized,BEL,Belgium,2017,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,,,67
Industrialized,BEL,Belgium,2018,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,,,67
Industrialized,BEL,Belgium,2019,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,,,67
CEECIS,BGR,Bulgaria,2013,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,29320,7470,25
CEECIS,BGR,Bulgaria,2014,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,29782,4633,16
CEECIS,BGR,Bulgaria,2015,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,55595,3759,7
CEECIS,BGR,Bulgaria,2016,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,59204,2651,4
CEECIS,BGR,Bulgaria,2017,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,62755,3115,5
CEECIS,BGR,Bulgaria,2018,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,65329,4610,7
CEECIS,BGR,Bulgaria,2019,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,67519,4272,6
CEECIS,BGR,Bulgaria,2020,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,70459,2431,3
CEECIS,BGR,Bulgaria,2013,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,29320,6535,22
CEECIS,BGR,Bulgaria,2014,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,29782,4214,14
CEECIS,BGR,Bulgaria,2015,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,56014,2490,4
CEECIS,BGR,Bulgaria,2016,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,60037,1917,3
CEECIS,BGR,Bulgaria,2017,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,63263,2160,3
CEECIS,BGR,Bulgaria,2018,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,65885,3385,5
CEECIS,BGR,Bulgaria,2019,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,68279,2709,4
CEECIS,BGR,Bulgaria,2020,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,71061,1642,2
CEECIS,BGR,Bulgaria,2016,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,29167,7470,26
CEECIS,BGR,Bulgaria,2017,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,29555,5372,18
CEECIS,BGR,Bulgaria,2018,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,30310,3609,12
CEECIS,BGR,Bulgaria,2019,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,31507,2914,9
CEECIS,BGR,Bulgaria,2020,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,32957,3798,12
CEECIS,BGR,Bulgaria,2016,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,29167,6535,22
CEECIS,BGR,Bulgaria,2017,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,29555,4517,15
CEECIS,BGR,Bulgaria,2018,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,30310,2550,8
CEECIS,BGR,Bulgaria,2019,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,31507,2007,6
CEECIS,BGR,Bulgaria,2020,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,32957,2777,8
LACR,BHS,Bahamas,2015,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,6395,386,6
LACR,BHS,Bahamas,2016,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,6404,2683,42
LACR,BHS,Bahamas,2017,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,6393,1875,29
LACR,BHS,Bahamas,2018,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,6334,1336,21
LACR,BHS,Bahamas,2019,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,6166,1770,29
LACR,BHS,Bahamas,2015,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,6395,139,2
LACR,BHS,Bahamas,2016,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,6404,1188,19
LACR,BHS,Bahamas,2017,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,6393,1088,17
LACR,BHS,Bahamas,2018,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,6334,628,10
LACR,BHS,Bahamas,2019,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,6166,532,9
LACR,BHS,Bahamas,2018,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,6441,421,7
LACR,BHS,Bahamas,2019,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,6441,821,13
LACR,BHS,Bahamas,2018,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,6441,340,5
LACR,BHS,Bahamas,2019,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,6441,466,7
LACR,BLZ,Belize,2016,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,3791,2092,55
LACR,BLZ,Belize,2017,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,3740,2103,56
LACR,BLZ,Belize,2018,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,3698,2201,60
LACR,BLZ,Belize,2019,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,3693,2848,77
LACR,BLZ,Belize,2020,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,3730,1903,51
LACR,BLZ,Belize,2017,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,3740,1911,51
LACR,BLZ,Belize,2018,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,3698,1995,54
LACR,BLZ,Belize,2019,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,3693,2323,63
LACR,BLZ,Belize,2020,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,3730,415,11
LACR,BOL,Bolivia (Plurinational State of),2017,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,341277,257105,75
LACR,BOL,Bolivia (Plurinational State of),2018,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,114001,81726,72
LACR,BOL,Bolivia (Plurinational State of),2019,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,114146,91511,80
LACR,BOL,Bolivia (Plurinational State of),2020,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,114424,68422,60
LACR,BOL,Bolivia (Plurinational State of),2017,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,341277,226299,66
LACR,BOL,Bolivia (Plurinational State of),2018,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,114001,70804,62
LACR,BOL,Bolivia (Plurinational State of),2019,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,114146,79646,70
LACR,BOL,Bolivia (Plurinational State of),2020,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,114424,27860,24
LACR,BOL,Bolivia (Plurinational State of),2020,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,112780,87473,78
LACR,BOL,Bolivia (Plurinational State of),2020,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,112780,78889,70
LACR,BRA,Brazil,2014,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,4866149,4958969,99
LACR,BRA,Brazil,2015,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,4617931,3476086,75
LACR,BRA,Brazil,2016,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,1483142,1239305,84
LACR,BRA,Brazil,2017,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,1458636,1710607,99
LACR,BRA,Brazil,2018,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,1590611,1211537,76
LACR,BRA,Brazil,2019,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,1590611,1192333,75
LACR,BRA,Brazil,2020,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,1590611,1391968,88
LACR,BRA,Brazil,2014,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,4866149,2875461,59
LACR,BRA,Brazil,2015,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,4617931,2287620,50
LACR,BRA,Brazil,2016,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,1483142,1068124,72
LACR,BRA,Brazil,2017,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,1458636,1411812,97
LACR,BRA,Brazil,2018,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,1590611,1139329,72
LACR,BRA,Brazil,2019,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,1590611,990964,62
LACR,BRA,Brazil,2020,HPV,PRHPVC_F,Target population who received the last dose of HPV vaccine in the reporting year,1590611,1149472,72
LACR,BRA,Brazil,2016,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,1645196,1582368,96
LACR,BRA,Brazil,2017,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,1622162,1634185,99
LACR,BRA,Brazil,2018,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,1738274,1990060,99
LACR,BRA,Brazil,2019,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,1738274,1131228,65
LACR,BRA,Brazil,2020,HPV,15HPV1_F,Population turning 15 in the reporting year that received any time between age 9- 14 at least one dose of HPV vaccine,1738274,1552995,89
LACR,BRA,Brazil,2016,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,1645196,1091200,66
LACR,BRA,Brazil,2017,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,1622162,1213121,75
LACR,BRA,Brazil,2018,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,1738274,1099724,63
LACR,BRA,Brazil,2019,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,1738274,1147668,66
LACR,BRA,Brazil,2020,HPV,15HPVC_F,Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine,1738274,1153237,66
LACR,BRB,Barbados,2014,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,1862,394,21
LACR,BRB,Barbados,2015,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,1845,1364,74
LACR,BRB,Barbados,2016,HPV,PRHPV1_F,Target population who received the first dose of HPV vaccine in the reporting year,1819,1531,84
